transaction_id,account_id,transaction_type,amount,transaction_date
60,485,Debit,4430.47,2016-03-02 21:59:52
61,614,Credit,6544.95,2016-04-23 02:45:18
62,242,Debit,9137.55,2016-07-11 04:05:11
63,298,Debit,34186.05,2016-03-02 21:59:52
64,87,Credit,3243.11,2016-03-02 21:59:52
65,628,Credit,3874.65,2016-06-15 00:37:56
66,145,Credit,1769.51,2016-03-02 21:59:52
67,584,Debit,154371.27,2016-05-24 21:34:59
68,399,Credit,2237.87,2016-08-15 08:02:08
69,287,Debit,33956.29,2016-03-02 21:59:52
70,645,Credit,24667,2016-09-03 14:34:19
71,321,Credit,4412.2,2016-03-02 21:59:52
72,664,Credit,46443.58,2016-09-09 10:05:23
73,261,Credit,14980.94,2016-03-02 21:59:52
74,89,Credit,3029.92,2016-03-30 13:44:59
75,661,Debit,4737.3,2016-06-30 05:35:22
76,423,Debit,56697.08,2016-06-22 22:15:33
77,97,Credit,13003.03,2016-10-25 16:15:03
78,239,Debit,4214.52,2016-05-01 10:57:43
79,140,Debit,2157.36,2016-04-14 19:06:32
80,535,Credit,4715.55,2016-04-26 23:26:07
81,477,Credit,3256.15,2016-08-31 12:24:20
82,179,Credit,1854.11,2016-03-02 21:59:52
83,392,Debit,4922.89,2016-04-29 10:10:49
84,528,Credit,17963.67,2016-04-23 02:46:13
85,53,Debit,16323.73,2016-03-02 21:59:52
86,317,Debit,12175.61,2016-03-02 21:59:52
87,311,Credit,4411.05,2016-03-02 21:59:52
88,83,Credit,3538.22,2016-03-02 21:59:52
89,373,Credit,4217.15,2016-05-06 21:53:41
90,538,Debit,8213.02,2016-03-15 06:31:45
91,283,Credit,2451.5,2016-03-02 21:59:52
92,659,Credit,23537.95,2016-03-02 21:59:52
93,257,Credit,15611.46,2016-03-02 21:59:52
94,236,Debit,1934.74,2016-11-03 15:57:30
95,295,Credit,781.89,2016-03-02 21:59:52
96,7,Credit,9298.72,2016-06-03 16:57:44
97,18,Credit,2046.35,2016-03-02 21:59:52
98,669,Debit,4116.37,2016-07-07 09:20:10
99,723,Credit,492315.34,2016-05-17 20:27:49
100,167,Credit,6039.82,2016-04-28 15:54:19
101,95,Debit,2060.02,2016-03-02 21:59:52
102,50,Debit,18696.63,2016-06-29 06:33:15
103,703,Credit,1240.12,2016-04-06 12:41:25
104,420,Credit,482802,2016-03-02 21:59:52
105,722,Credit,3997.53,2016-05-08 01:48:21
106,391,Credit,72650.67,2016-08-27 00:17:58
107,226,Credit,2070.27,2016-03-22 19:58:54
108,316,Credit,3021.4,2016-05-28 12:21:12
109,76,Debit,4182.51,2016-04-29 14:52:44
110,541,Debit,2226.55,2016-11-02 15:33:49
111,120,Credit,4410.53,2016-09-14 10:26:23
112,234,Debit,4249.74,2016-05-30 10:57:48
113,715,Credit,18030.8,2016-03-02 21:59:52
114,332,Credit,1752.66,2016-11-16 06:40:56
115,274,Credit,18071.71,2016-11-22 17:15:57
116,452,Credit,3743.5,2016-11-01 18:23:49
117,452,Credit,8444.92,2016-08-18 00:11:08
118,686,Credit,1336.04,2016-06-07 14:33:53
119,146,Debit,15819.21,2016-08-19 13:16:17
120,485,Debit,128.01,2016-03-02 21:59:52
121,509,Debit,15594.04,2016-11-25 20:58:29
122,626,Credit,23422.23,2016-03-28 09:36:07
123,666,Debit,67245.54,2016-09-15 18:20:06
124,276,Debit,16848.87,2016-08-17 23:06:24
125,384,Debit,20568.99,2016-04-18 05:12:08
126,512,Credit,7096.13,2016-03-02 21:59:52
127,629,Credit,6293.46,2016-04-30 21:55:09
128,260,Credit,3647.12,2016-03-02 21:59:52
129,364,Debit,385520.28,2016-06-26 02:37:19
130,540,Credit,64336.32,2016-03-02 21:59:52
131,290,Credit,66845.88,2016-05-22 02:25:27
132,641,Debit,44234.71,2016-08-14 00:08:57
133,205,Credit,50958.56,2016-11-20 23:15:07
134,400,Credit,1530.24,2016-11-30 23:10:15
135,596,Credit,67683.28,2016-05-31 01:21:30
136,549,Credit,1936.9,2016-10-05 12:39:06
137,106,Debit,13938.84,2016-06-22 18:10:58
138,173,Debit,12999.76,2016-03-02 21:59:52
139,276,Debit,52762.48,2016-09-13 19:12:47
140,167,Credit,2242.37,2016-06-11 13:35:23
141,542,Credit,4382.26,2016-03-02 21:59:52
142,527,Credit,64149.36,2016-03-02 21:59:52
143,15,Credit,38063.08,2016-04-20 12:43:19
144,356,Credit,21806,2016-03-02 21:59:52
145,362,Debit,9902.9,2016-04-24 14:43:57
146,184,Credit,3615.57,2016-03-02 21:59:52
147,224,Credit,3661.57,2016-03-02 21:59:52
148,603,Debit,4682.41,2016-10-31 02:44:13
149,319,Credit,10747.56,2016-04-07 18:48:11
150,494,Credit,8026.56,2016-05-08 14:13:46
151,713,Credit,2489.66,2016-03-18 08:10:35
152,650,Debit,8760.44,2016-12-15 04:54:17
153,406,Debit,11697.6,2016-06-09 14:41:17
154,511,Debit,24126.74,2016-06-19 11:48:49
155,85,Credit,24684.27,2016-10-10 16:31:24
156,126,Credit,216.82,2016-04-13 18:02:43
157,555,Debit,241981.7,2016-03-02 21:59:52
158,43,Debit,2515.36,2016-11-14 08:55:52
159,712,Debit,4572.38,2016-11-06 00:44:36
160,212,Credit,8479.28,2016-03-02 21:59:52
161,15,Debit,176305.53,2016-04-30 09:39:53
162,83,Debit,636.61,2016-12-10 08:27:53
163,47,Debit,479,2016-03-27 09:27:58
164,442,Debit,1961.16,2016-05-30 13:38:27
165,594,Debit,4145.46,2016-10-16 00:57:11
166,697,Credit,2071.6,2016-04-19 03:15:38
167,73,Credit,23191.6,2016-03-02 21:59:52
168,675,Debit,1572.53,2016-11-13 17:25:23
169,206,Credit,4943.84,2016-07-29 07:54:08
170,11,Debit,53495.07,2016-10-31 14:31:08
171,635,Credit,4898.64,2016-05-17 18:04:46
172,150,Debit,1626.15,2016-08-28 09:51:56
173,740,Debit,16292.21,2016-09-04 19:09:45
174,352,Debit,4987,2016-11-09 12:04:25
175,210,Credit,2548.67,2016-03-19 20:33:35
176,220,Debit,995.04,2016-03-17 01:20:11
177,45,Credit,3868.73,2016-08-16 11:24:18
178,293,Debit,77915.45,2016-05-28 10:59:00
179,548,Debit,1519.4,2016-12-13 01:06:43
180,713,Credit,64949.36,2016-03-14 11:52:54
181,424,Debit,1819.83,2016-09-13 12:00:47
182,275,Credit,480.39,2016-09-12 13:17:52
183,419,Debit,3409.3,2016-09-09 01:00:18
184,448,Credit,47179.36,2016-07-22 11:41:28
185,198,Debit,13689.17,2016-04-25 13:43:55
186,46,Credit,50711.36,2016-07-02 12:08:10
187,111,Credit,4515.66,2016-03-10 05:56:30
188,137,Credit,806.45,2016-03-02 21:59:52
189,666,Debit,73483.16,2016-12-09 05:58:41
190,83,Credit,3206.74,2016-11-11 22:17:56
191,281,Credit,72887.02,2016-10-26 11:19:55
192,252,Debit,15900.81,2016-03-12 23:49:37
193,460,Debit,22742.13,2016-05-12 07:23:17
194,347,Debit,464.77,2016-12-07 04:34:12
195,143,Debit,17802.78,2016-12-13 02:01:32
196,406,Credit,2460.75,2017-01-15 10:19:03
197,23,Credit,1494.95,2016-12-31 00:27:42
198,284,Credit,4668.8,2016-12-27 02:57:20
199,85,Debit,21928.74,2016-10-07 21:43:22
200,129,Credit,38499.49,2016-04-16 05:30:56
201,543,Debit,2770.38,2016-09-19 10:15:40
202,58,Credit,15528.05,2016-09-26 08:24:49
203,60,Debit,3312.5,2016-06-04 08:22:55
204,677,Debit,24551.89,2016-07-04 17:21:22
205,369,Credit,408603.31,2016-11-26 07:05:25
206,191,Credit,1196.04,2016-10-09 23:48:56
207,435,Credit,5817.87,2016-08-09 15:37:39
208,316,Debit,429.67,2016-12-23 08:38:49
209,527,Credit,3950.96,2016-06-25 01:25:30
210,554,Credit,5323.87,2016-09-14 09:28:45
211,193,Credit,3065.77,2016-10-23 16:51:23
212,644,Credit,13526.31,2016-12-06 08:51:29
213,241,Debit,11461.41,2016-11-14 05:27:23
214,449,Credit,4261.12,2016-05-19 10:18:29
215,153,Credit,4943.56,2017-01-27 06:49:53
216,629,Credit,2733.69,2016-09-15 10:14:13
217,245,Debit,1324.77,2016-07-27 19:16:21
218,314,Debit,13032.03,2016-03-02 21:59:52
219,43,Credit,48102.45,2016-09-27 19:10:29
220,125,Credit,23659.75,2016-09-10 22:49:34
221,144,Credit,78802.15,2016-08-04 12:04:00
222,520,Debit,7804.03,2016-04-04 16:53:41
223,283,Credit,3464.46,2016-12-23 21:19:19
224,434,Debit,19382.22,2016-07-11 19:41:01
225,288,Credit,85107.66,2016-12-16 18:11:43
226,71,Debit,2653.43,2016-07-10 22:53:10
227,511,Debit,1655.93,2017-01-19 13:49:10
228,520,Credit,3541.55,2017-01-27 02:22:51
229,404,Credit,28342.47,2016-08-26 23:46:15
230,169,Credit,46825.34,2016-07-10 21:16:36
231,599,Debit,96271.3,2016-03-26 06:30:54
232,591,Debit,36532.06,2016-10-27 05:50:42
233,610,Debit,685.72,2016-12-13 20:59:09
234,711,Debit,1398.63,2016-06-24 14:12:25
235,216,Credit,21945.6,2016-09-18 07:43:35
236,620,Debit,3969.56,2016-07-04 20:19:25
237,87,Debit,5094.83,2016-08-02 10:10:29
238,499,Credit,79685.72,2016-11-03 19:19:39
239,85,Credit,2503.19,2016-09-13 17:20:07
240,618,Debit,400.98,2016-10-13 08:20:53
241,426,Credit,77014.28,2016-07-10 04:30:40
242,372,Credit,3486.79,2016-04-18 22:34:50
243,584,Credit,246417.67,2016-04-19 06:25:18
244,538,Credit,46827.73,2016-10-08 16:57:56
245,267,Debit,4593.68,2016-07-07 20:44:58
246,32,Credit,99020.02,2017-02-03 16:10:57
247,300,Debit,4672.51,2016-06-22 02:00:37
248,657,Credit,23493.61,2016-05-22 13:56:25
249,666,Credit,96753.91,2016-08-01 16:19:32
250,199,Credit,4205.52,2016-08-19 14:34:05
251,73,Credit,3730.72,2016-09-09 15:07:16
252,405,Credit,52086.35,2016-08-19 01:33:28
253,160,Debit,51470.85,2016-04-09 22:55:15
254,393,Debit,19225.41,2016-08-03 15:26:13
255,247,Debit,180.68,2017-02-06 01:33:02
256,433,Credit,3182.18,2016-06-09 10:10:30
257,689,Debit,60600.4,2016-09-22 23:04:16
258,326,Credit,2754.75,2016-10-02 16:18:08
259,236,Credit,156390.56,2016-11-20 05:56:05
260,204,Debit,1839.11,2016-04-12 11:31:40
261,598,Debit,3026.92,2016-11-08 10:46:33
262,693,Debit,59629.08,2016-05-27 12:07:44
263,592,Debit,3360.7,2016-04-01 08:43:11
264,179,Debit,95517.75,2016-05-12 10:40:24
265,357,Credit,14622.2,2016-11-28 15:43:04
266,613,Credit,226.47,2016-07-22 04:36:53
267,531,Debit,4492.86,2016-08-31 16:52:03
268,239,Debit,3158.71,2016-03-15 18:44:28
269,324,Credit,2920.29,2016-08-31 14:15:28
270,571,Credit,19094.65,2016-09-08 18:45:20
271,304,Credit,1530.44,2017-01-22 14:18:38
272,374,Debit,14126.47,2016-11-17 10:58:51
273,154,Credit,52035.73,2017-02-13 09:35:50
274,496,Debit,15112.74,2017-02-11 02:00:52
275,49,Credit,1379.95,2016-04-26 14:43:35
276,413,Debit,200.14,2016-05-12 18:27:12
277,708,Debit,65997.26,2016-12-30 16:57:48
278,688,Debit,20089.35,2016-12-31 14:55:36
279,469,Credit,3556.99,2016-05-23 04:38:00
280,181,Credit,877.5,2017-02-08 00:22:29
281,469,Debit,69197.82,2016-10-04 16:01:23
282,433,Credit,1193.11,2016-06-17 02:23:12
283,44,Debit,410681.16,2016-06-21 20:15:13
284,269,Debit,4953.89,2016-09-14 05:29:49
285,148,Debit,4305.88,2016-11-28 00:59:34
286,206,Credit,23742.41,2016-12-14 19:27:39
287,146,Credit,114957.86,2016-09-12 18:08:56
288,115,Credit,4210.83,2016-06-09 00:27:05
289,174,Credit,7599.85,2016-04-25 07:08:46
290,463,Credit,222856.51,2017-03-20 05:52:31
291,308,Credit,85723.82,2016-04-29 04:42:17
292,458,Credit,37897.65,2017-02-11 15:06:35
293,162,Debit,4025.07,2016-08-28 01:29:56
294,494,Credit,272.58,2017-01-14 07:47:18
295,534,Debit,3288.58,2017-01-15 22:59:26
296,458,Credit,3245.81,2016-05-13 12:35:21
297,549,Credit,4247.85,2016-07-08 13:34:36
298,280,Debit,63969.85,2017-01-31 05:36:26
299,552,Credit,19536.56,2016-11-24 09:03:41
300,238,Debit,8293.38,2017-01-10 05:48:56
301,72,Credit,2487.89,2017-01-30 06:47:46
302,705,Credit,523.08,2017-01-31 12:02:46
303,415,Debit,3793.81,2016-05-03 06:31:48
304,427,Credit,8893.97,2016-09-18 03:36:16
305,136,Debit,875.28,2016-10-07 21:25:10
306,5,Credit,1890.94,2016-11-13 18:06:07
307,310,Debit,3830,2016-11-14 22:30:40
308,122,Credit,23668.96,2016-04-16 09:17:08
309,329,Debit,4390.01,2016-12-24 11:40:22
310,521,Debit,4730.09,2017-02-12 19:59:46
311,401,Debit,3490.61,2016-05-27 19:47:21
312,67,Credit,5691.93,2016-07-08 12:03:00
313,95,Credit,19534.71,2016-11-22 00:38:37
314,115,Credit,9858.13,2016-09-28 05:51:31
315,485,Credit,5352.96,2017-03-30 04:03:20
316,548,Debit,12504.53,2017-02-02 15:34:54
317,349,Credit,87553.99,2016-05-26 08:45:21
318,313,Credit,24852.35,2017-01-23 06:45:54
319,116,Debit,1245.01,2016-07-27 07:18:08
320,149,Debit,1296.88,2017-02-14 23:49:07
321,33,Debit,23638.92,2016-08-21 01:32:47
322,615,Debit,19806.21,2016-07-13 06:40:40
323,457,Debit,20857.96,2016-06-15 13:18:50
324,202,Debit,4756.05,2017-03-15 00:32:32
325,352,Debit,8604.29,2017-01-29 00:38:33
326,737,Credit,1467.65,2017-03-08 13:16:43
327,293,Credit,58298.02,2016-06-24 07:28:26
328,218,Credit,17793.46,2016-06-13 05:15:11
329,157,Credit,724.1,2017-03-25 11:29:33
330,499,Debit,88067.94,2016-11-04 04:14:29
331,173,Debit,79861.07,2017-04-27 16:26:49
332,354,Credit,24601.06,2016-10-23 09:42:34
333,134,Credit,1277.07,2016-09-15 12:05:31
334,179,Credit,1559.12,2016-06-14 18:37:20
335,327,Credit,20545.85,2017-04-05 16:56:38
336,420,Credit,24434.53,2016-07-13 22:17:05
337,568,Debit,4731.44,2016-07-24 06:12:40
338,664,Credit,57592.05,2016-10-24 20:04:57
339,392,Debit,730.92,2016-12-15 00:09:24
340,670,Credit,59121.63,2017-03-27 10:27:20
341,6,Debit,5745.05,2016-09-17 21:24:56
342,636,Debit,2738.67,2016-10-01 08:21:18
343,536,Credit,24588.04,2017-02-01 00:26:16
344,67,Credit,63966.05,2016-11-24 23:52:44
345,197,Credit,8573.1,2016-07-16 01:28:18
346,493,Debit,585.5,2016-12-25 10:01:46
347,190,Credit,88530.17,2016-05-14 21:56:18
348,484,Credit,4917.69,2017-04-20 14:01:32
349,103,Credit,1665.72,2017-05-10 10:45:54
350,576,Credit,1245.74,2017-01-16 02:19:58
351,470,Credit,18669.73,2016-05-28 01:52:36
352,636,Debit,9822.58,2016-10-15 22:19:10
353,58,Debit,2714.71,2017-03-04 04:04:40
354,296,Debit,10768.28,2016-07-27 10:54:34
355,413,Credit,3150.51,2016-10-22 01:29:40
356,173,Credit,13135.69,2016-11-03 17:00:47
357,201,Credit,13613.9,2016-06-18 13:36:45
358,537,Credit,311.17,2016-10-28 11:12:36
359,120,Credit,1043,2016-06-25 10:51:56
360,70,Debit,1232.26,2016-12-14 18:28:25
361,47,Credit,196.81,2016-11-20 09:27:31
362,136,Debit,9159.51,2016-06-09 04:12:25
363,423,Credit,5610.8,2016-10-01 08:37:23
364,506,Debit,7265.77,2016-11-12 00:38:27
365,121,Credit,16776.91,2016-11-11 07:22:56
366,452,Debit,497.4,2016-08-11 00:55:32
367,58,Credit,15507.83,2017-04-14 00:23:32
368,43,Credit,22659.24,2017-05-05 18:15:03
369,146,Debit,58362.56,2016-07-10 21:56:11
370,308,Credit,7720.56,2017-03-11 02:02:38
371,423,Debit,52702.97,2016-12-26 21:00:33
372,551,Debit,14491.32,2016-11-06 03:26:47
373,492,Credit,4026.42,2017-01-29 15:51:38
374,24,Debit,429.83,2017-01-14 20:16:03
375,172,Credit,634.01,2017-03-11 00:10:42
376,245,Credit,26684.9,2016-07-21 10:18:18
377,347,Debit,364491.37,2016-11-27 00:28:48
378,470,Debit,4566.7,2016-10-22 22:51:23
379,629,Debit,2366.86,2016-09-26 21:24:41
380,348,Debit,20725.19,2016-07-20 09:14:23
381,737,Debit,73507.48,2017-03-18 20:14:40
382,143,Credit,51107.91,2017-05-10 21:46:42
383,666,Credit,204811.23,2016-10-19 09:12:52
384,701,Credit,345678.27,2016-06-09 13:13:13
385,398,Debit,4689.05,2017-01-15 16:07:31
386,156,Debit,22293.99,2016-12-05 10:30:47
387,507,Credit,4990.5,2017-01-24 22:53:49
388,732,Credit,13595.45,2016-07-16 05:36:09
389,401,Credit,4547.29,2016-06-22 03:53:15
390,477,Credit,23362.89,2017-02-08 08:32:49
391,293,Debit,4534.77,2017-04-23 12:02:39
392,14,Credit,2940.87,2016-07-10 18:51:37
393,110,Credit,2684.41,2016-08-06 07:14:11
394,305,Debit,82816.68,2016-07-13 20:42:33
395,302,Credit,22446.3,2017-04-02 05:34:31
396,534,Credit,10641.93,2017-05-09 02:12:09
397,66,Credit,10613.3,2017-01-18 09:06:11
398,501,Credit,7605.15,2017-03-03 17:15:30
399,92,Credit,16480.99,2016-09-01 02:29:11
400,502,Debit,4960.44,2017-05-20 07:18:16
401,247,Credit,23727.86,2017-05-31 21:21:51
402,658,Debit,3671,2016-11-04 15:37:08
403,119,Debit,22422.95,2017-06-19 04:35:24
404,640,Debit,49813.1,2017-02-17 14:39:18
405,136,Credit,14902.51,2017-05-18 19:11:20
406,130,Debit,10928.09,2016-10-01 16:54:07
407,254,Credit,355401.35,2017-04-06 19:51:07
408,432,Credit,4744.58,2017-04-06 08:52:46
409,381,Credit,24904.2,2016-12-25 06:12:24
410,406,Credit,73213.19,2016-07-12 18:49:59
411,170,Credit,3032.56,2017-06-12 05:14:40
412,704,Debit,677.81,2016-07-07 11:47:13
413,254,Credit,23699.41,2017-01-09 21:33:22
414,605,Credit,1291.38,2016-08-20 05:15:50
415,114,Debit,13603.43,2017-03-26 19:14:01
416,526,Credit,7707.82,2016-08-10 22:59:16
417,250,Debit,131781.1,2016-11-21 13:55:30
418,602,Credit,3151.33,2016-08-07 10:39:07
419,397,Credit,16867.56,2016-10-16 09:05:56
420,64,Debit,53020.53,2016-10-07 14:27:59
421,145,Debit,12003.92,2017-04-22 14:37:10
422,289,Credit,4358.97,2017-02-02 15:17:54
423,356,Credit,52336.49,2016-11-16 21:19:29
424,226,Debit,40489.86,2016-07-11 01:32:46
425,644,Credit,4978.55,2016-12-05 02:35:31
426,70,Debit,126.25,2016-11-21 07:20:27
427,613,Debit,450.43,2016-11-29 20:56:03
428,623,Debit,21813.93,2016-12-14 09:53:07
429,686,Credit,2338.31,2016-11-03 00:03:56
430,57,Credit,20993.36,2017-06-09 02:27:00
431,204,Debit,2193.47,2016-07-18 20:18:50
432,541,Debit,375107.99,2016-07-19 15:39:42
433,488,Credit,69143.24,2017-05-16 01:58:20
434,558,Debit,4272.23,2016-12-21 08:31:14
435,647,Credit,63330.48,2016-10-22 12:45:43
436,489,Credit,3842.68,2017-05-16 12:30:36
437,734,Debit,2846.04,2017-01-27 09:01:21
438,505,Credit,326.41,2016-09-05 17:53:55
439,62,Credit,36760.77,2016-08-16 11:27:50
440,497,Credit,4397.33,2016-08-06 23:58:04
441,588,Credit,168.56,2017-03-04 22:35:02
442,367,Credit,45680.05,2017-06-18 18:24:57
443,400,Debit,20221.78,2017-04-03 05:21:44
444,69,Credit,477710.12,2016-12-05 13:32:13
445,554,Credit,4653.14,2017-05-04 10:18:10
446,109,Credit,22786.49,2017-05-21 06:24:33
447,471,Debit,9378.35,2016-09-20 05:41:54
448,145,Debit,1544.77,2017-07-23 00:30:51
449,146,Credit,4841.74,2017-01-07 00:25:40
450,461,Credit,13362.66,2016-09-08 08:30:33
451,251,Credit,371591.9,2016-12-01 09:48:46
452,504,Debit,98308.93,2017-05-25 09:44:18
453,6,Debit,25479.68,2017-05-30 18:34:39
454,646,Debit,37169.24,2017-01-13 23:25:22
455,556,Debit,5302.57,2016-09-14 07:01:43
456,505,Credit,1952.45,2016-09-11 07:24:37
457,169,Credit,3605.07,2016-10-15 08:42:43
458,156,Debit,23945.56,2017-04-30 00:09:12
459,217,Debit,88668.63,2017-05-16 17:12:37
460,552,Debit,58324.18,2016-10-17 08:01:05
461,12,Credit,47102.08,2016-10-26 21:00:20
462,128,Debit,11369.26,2016-11-25 15:38:44
463,267,Credit,445.46,2017-02-09 10:42:18
464,27,Credit,2447.65,2016-08-23 06:37:17
465,338,Debit,4682.31,2016-11-04 19:03:44
466,487,Credit,59331.01,2017-06-02 15:30:21
467,195,Debit,30281.55,2017-03-30 21:40:53
468,507,Debit,2840.06,2017-01-08 12:37:14
469,586,Debit,3977.15,2017-06-20 12:59:29
470,386,Credit,4184.28,2017-02-16 16:17:49
471,114,Credit,1236.68,2017-07-05 00:24:46
472,103,Debit,19568.62,2017-07-25 01:16:44
473,193,Debit,3402.51,2017-03-19 01:53:10
474,236,Debit,14656.18,2017-07-13 11:30:10
475,325,Credit,343.25,2016-12-01 13:49:43
476,390,Credit,1412.2,2017-02-21 01:04:07
477,413,Credit,18231.19,2017-05-08 12:42:49
478,658,Credit,53079.5,2017-07-26 23:52:10
479,602,Credit,3718.85,2017-05-13 13:22:47
480,53,Debit,4161.75,2016-12-23 00:31:48
481,462,Debit,57622.5,2017-01-10 13:43:03
482,48,Credit,4194.42,2017-03-02 08:30:45
483,552,Debit,4914.68,2017-02-25 03:54:19
484,585,Debit,440791.37,2017-03-03 18:09:44
485,106,Debit,17112.79,2016-09-07 06:49:04
486,490,Debit,1152.66,2017-07-25 13:24:15
487,363,Credit,86457.78,2017-02-17 22:25:54
488,690,Debit,15792.98,2017-03-15 18:10:37
489,468,Credit,11859.2,2017-06-26 15:20:43
490,66,Credit,1941.99,2016-10-04 20:32:03
491,392,Credit,3173.03,2017-01-02 04:26:51
492,304,Credit,476.23,2016-12-04 11:45:20
493,317,Credit,4344.61,2016-11-16 10:45:17
494,600,Debit,19162.97,2017-07-20 03:47:37
495,265,Credit,14958.04,2017-02-03 22:15:08
496,467,Credit,3140.7,2017-02-12 05:45:15
497,147,Debit,4215.92,2016-10-06 14:56:11
498,80,Credit,3618.46,2017-01-02 16:11:04
499,139,Debit,75471.16,2016-10-22 00:13:21
500,115,Credit,75003.08,2017-04-17 03:53:29
501,719,Debit,29067.23,2017-04-20 08:27:21
502,620,Credit,5003.31,2016-12-19 14:19:13
503,316,Credit,78754.27,2016-12-01 10:56:21
504,324,Debit,2495.9,2017-06-09 17:34:59
505,349,Credit,4337.05,2016-11-11 01:50:37
506,657,Debit,1313.15,2016-11-30 14:43:29
507,327,Debit,49761.46,2016-10-02 13:43:39
508,122,Debit,3569.24,2016-10-11 13:21:36
509,494,Debit,38735.85,2017-02-20 19:03:54
510,712,Debit,78031.34,2017-02-17 20:32:37
511,132,Debit,91879.51,2017-05-20 06:33:17
512,104,Credit,16772.24,2017-07-01 21:19:56
513,744,Debit,71222.12,2016-11-10 19:52:14
514,239,Credit,4349.7,2016-10-02 19:20:59
515,645,Credit,3337.37,2017-04-10 03:08:23
516,293,Debit,5866.53,2016-09-16 03:40:58
517,184,Debit,3510.77,2017-03-30 15:50:38
518,621,Credit,4065.79,2016-12-21 16:51:30
519,648,Debit,24872.63,2017-08-29 14:12:15
520,40,Credit,2362.49,2017-08-28 20:54:51
521,488,Debit,3669.71,2017-06-19 21:08:08
522,664,Debit,3031.58,2017-07-31 00:33:05
523,90,Debit,22794.96,2017-05-13 01:28:54
524,410,Credit,2922.55,2017-07-06 04:06:20
525,278,Credit,16321.93,2017-05-29 12:00:28
526,745,Credit,6340.91,2017-08-27 01:46:26
527,312,Credit,3829.25,2017-01-13 23:41:05
528,354,Debit,3790.5,2017-04-10 12:44:29
529,572,Credit,388075.66,2016-11-17 16:05:14
530,117,Credit,4274.48,2017-01-26 05:28:38
531,610,Credit,17366.78,2017-01-01 02:20:50
532,90,Credit,742.93,2016-10-30 11:39:36
533,26,Credit,2508.12,2016-12-15 09:38:44
534,25,Debit,95498.85,2017-05-31 18:08:47
535,346,Debit,23531.98,2017-08-19 02:41:32
536,316,Debit,9148.49,2017-04-11 14:12:58
537,487,Debit,80122.92,2017-07-30 19:12:48
538,634,Debit,117808.65,2017-09-16 16:20:46
