order_id,customer_id,order status,payment_method
63,855,Delivered,Net Banking
64,3195,Canceled,Cash on Delivery
65,160,Canceled,Loyalty Points
66,1218,Delivered,Net Banking
67,4469,Delivered,Loyalty Points
68,997,Canceled,Loyalty Points
69,4430,In Transit,Net Banking
70,1732,Canceled,Loyalty Points
71,480,Delivered,Loyalty Points
72,4297,Delivered,UPI
73,4353,Delivered,Cash on Delivery
74,2235,Delivered,Loyalty Points
75,1316,Delivered,Cash on Delivery
76,2794,Delivered,Loyalty Points
77,286,In Transit,UPI
78,1521,Delivered,Net Banking
79,3264,Canceled,Net Banking
80,1234,Canceled,Loyalty Points
81,2734,Canceled,UPI
82,407,Canceled,UPI
83,4226,Canceled,Net Banking
84,359,Delivered,Net Banking
85,1318,Canceled,UPI
86,1174,In Transit,Loyalty Points
87,1800,Canceled,Loyalty Points
88,4225,Delivered,Net Banking
89,945,Canceled,Cash on Delivery
90,3791,In Transit,Loyalty Points
91,1295,Delivered,UPI
92,761,Canceled,Cash on Delivery
93,3584,Delivered,Cash on Delivery
94,3226,Delivered,Loyalty Points
95,4933,Canceled,Net Banking
96,4962,In Transit,Loyalty Points
97,3210,In Transit,Net Banking
98,1049,In Transit,Cash on Delivery
99,245,In Transit,UPI
100,853,In Transit,Loyalty Points
101,3905,Delivered,Net Banking
102,181,Canceled,UPI
103,3872,Canceled,UPI
104,821,In Transit,Cash on Delivery
105,2460,Canceled,Cash on Delivery
106,4783,In Transit,Loyalty Points
107,2196,Delivered,Loyalty Points
108,4630,In Transit,Net Banking
109,4224,Canceled,Net Banking
110,2758,Canceled,Cash on Delivery
111,4202,Delivered,UPI
112,1589,Delivered,Loyalty Points
113,3968,In Transit,Cash on Delivery
114,4544,Delivered,UPI
115,4084,Canceled,UPI
116,3144,Delivered,UPI
117,1528,Canceled,Loyalty Points
118,4822,Canceled,UPI
119,3940,Delivered,Net Banking
120,435,Delivered,Cash on Delivery
121,2192,In Transit,Loyalty Points
122,2037,Delivered,Loyalty Points
123,2277,In Transit,Loyalty Points
124,2702,In Transit,UPI
125,1563,Delivered,Loyalty Points
126,1053,Delivered,Loyalty Points
127,3709,In Transit,Cash on Delivery
128,468,Canceled,UPI
129,4617,Canceled,UPI
130,1539,In Transit,Loyalty Points
131,4708,Canceled,Loyalty Points
132,2602,Delivered,Net Banking
133,3997,Canceled,Net Banking
134,4429,Delivered,UPI
135,4541,Delivered,Loyalty Points
136,3621,Canceled,Loyalty Points
137,2769,Delivered,Loyalty Points
138,4250,In Transit,Net Banking
139,168,In Transit,Cash on Delivery
140,2023,In Transit,Loyalty Points
141,2028,Canceled,Cash on Delivery
142,4796,Canceled,Cash on Delivery
143,3234,In Transit,Cash on Delivery
144,2371,Delivered,Loyalty Points
145,2689,Delivered,Cash on Delivery
146,44,Canceled,Cash on Delivery
147,3460,In Transit,UPI
148,1122,In Transit,Cash on Delivery
149,4935,In Transit,Loyalty Points
150,4858,Canceled,Loyalty Points
151,1126,Delivered,Cash on Delivery
152,456,Canceled,UPI
153,4712,In Transit,Loyalty Points
154,3313,In Transit,Cash on Delivery
155,3891,Delivered,Cash on Delivery
156,750,Canceled,Loyalty Points
157,1670,Delivered,Loyalty Points
158,1962,In Transit,Cash on Delivery
159,641,In Transit,UPI
160,2887,Canceled,Cash on Delivery
161,514,Canceled,Cash on Delivery
162,2602,In Transit,Loyalty Points
163,4871,Canceled,Loyalty Points
164,1227,Canceled,Net Banking
165,3147,Canceled,Net Banking
166,4028,Delivered,Loyalty Points
167,3476,Delivered,UPI
168,3915,Canceled,Net Banking
169,4257,Canceled,Cash on Delivery
170,1354,Canceled,Cash on Delivery
171,3882,In Transit,UPI
172,659,Delivered,Cash on Delivery
173,949,Canceled,Loyalty Points
174,2138,In Transit,Net Banking
175,2537,In Transit,Cash on Delivery
176,4264,Delivered,Net Banking
177,2562,In Transit,Loyalty Points
178,1988,Canceled,UPI
179,1378,Canceled,Net Banking
180,491,Canceled,Loyalty Points
181,1744,Canceled,UPI
182,1715,In Transit,Loyalty Points
183,496,Delivered,Cash on Delivery
184,2091,In Transit,Loyalty Points
185,2221,Canceled,Loyalty Points
186,3787,Canceled,Cash on Delivery
187,4540,In Transit,Loyalty Points
188,1491,In Transit,Cash on Delivery
189,3576,In Transit,Loyalty Points
190,2450,Delivered,Net Banking
191,2774,Delivered,Net Banking
192,2384,Canceled,Cash on Delivery
193,4035,In Transit,UPI
194,1441,In Transit,Loyalty Points
195,4216,In Transit,Net Banking
196,3313,Canceled,Net Banking
197,4752,Canceled,Cash on Delivery
198,2356,Canceled,Cash on Delivery
199,598,Delivered,Loyalty Points
200,3229,Canceled,Cash on Delivery
201,4126,Canceled,Loyalty Points
202,450,In Transit,Loyalty Points
203,3027,Canceled,Loyalty Points
204,4502,Canceled,Loyalty Points
205,4553,Delivered,UPI
206,4372,Delivered,UPI
207,2055,Delivered,UPI
208,2675,Canceled,Loyalty Points
209,965,Canceled,Net Banking
210,2000,In Transit,Cash on Delivery
211,2284,Delivered,Loyalty Points
212,3552,In Transit,Cash on Delivery
213,3136,In Transit,Net Banking
214,1246,Canceled,Net Banking
215,3704,Canceled,Net Banking
216,4422,In Transit,Loyalty Points
217,2662,Canceled,Cash on Delivery
218,876,In Transit,Net Banking
219,1549,Canceled,UPI
220,3970,In Transit,UPI
221,4636,Canceled,UPI
222,839,Delivered,Net Banking
223,1640,Delivered,Cash on Delivery
224,2567,Canceled,Cash on Delivery
225,911,Canceled,UPI
226,1396,In Transit,UPI
227,494,Canceled,Cash on Delivery
228,1797,Delivered,Cash on Delivery
229,1368,Canceled,Net Banking
230,4368,Canceled,Cash on Delivery
231,1563,Delivered,Cash on Delivery
232,4015,Delivered,Net Banking
233,4170,Delivered,Net Banking
234,1443,Canceled,Cash on Delivery
235,3270,In Transit,Cash on Delivery
236,2887,Canceled,Cash on Delivery
237,3304,In Transit,Loyalty Points
238,1941,Canceled,UPI
239,473,Canceled,UPI
240,3520,In Transit,Cash on Delivery
241,4236,Canceled,Cash on Delivery
242,4464,In Transit,Net Banking
243,2814,In Transit,Net Banking
244,2631,Delivered,UPI
245,3049,Canceled,UPI
246,2914,In Transit,Loyalty Points
247,4817,Canceled,UPI
248,2640,Canceled,UPI
249,2357,Canceled,UPI
250,67,In Transit,Cash on Delivery
251,4840,Delivered,Net Banking
252,4274,In Transit,Net Banking
253,2090,Canceled,Net Banking
254,4650,Canceled,Cash on Delivery
255,3930,Delivered,UPI
256,2727,In Transit,Loyalty Points
257,1269,Delivered,Net Banking
258,1987,In Transit,Cash on Delivery
259,3270,Delivered,Cash on Delivery
260,2058,Canceled,Cash on Delivery
261,4610,Canceled,Cash on Delivery
262,3236,Delivered,Net Banking
263,3752,Delivered,Loyalty Points
264,330,Delivered,UPI
265,3487,Delivered,Loyalty Points
266,3816,Canceled,Loyalty Points
267,3893,Canceled,Loyalty Points
268,4699,Delivered,Cash on Delivery
269,936,Delivered,Net Banking
270,3442,Canceled,Net Banking
271,1962,In Transit,Loyalty Points
272,4020,In Transit,Loyalty Points
273,3369,Canceled,UPI
274,3664,In Transit,Loyalty Points
275,2590,Delivered,Cash on Delivery
276,3262,In Transit,Cash on Delivery
277,4372,Canceled,UPI
278,1992,In Transit,Net Banking
279,535,Canceled,Net Banking
280,347,In Transit,Cash on Delivery
281,3432,In Transit,Cash on Delivery
282,3646,Canceled,Cash on Delivery
283,2170,Canceled,UPI
284,236,In Transit,Net Banking
285,2460,Canceled,Cash on Delivery
286,10,In Transit,Net Banking
287,2693,Canceled,UPI
288,3700,Delivered,UPI
289,1714,In Transit,Loyalty Points
290,3985,In Transit,Cash on Delivery
291,4437,Delivered,Net Banking
292,782,Canceled,Cash on Delivery
293,1367,Delivered,Net Banking
294,292,Delivered,Loyalty Points
295,4700,Delivered,Loyalty Points
296,585,Delivered,Loyalty Points
297,3539,In Transit,UPI
298,155,In Transit,Net Banking
299,4065,In Transit,Net Banking
300,3297,Delivered,Loyalty Points
301,4950,Canceled,Loyalty Points
302,2443,Canceled,Loyalty Points
303,2301,Canceled,Loyalty Points
304,2540,Canceled,Net Banking
305,1523,In Transit,Loyalty Points
306,689,Canceled,UPI
307,4534,In Transit,Loyalty Points
308,3626,In Transit,Net Banking
309,493,Delivered,Cash on Delivery
310,4420,Delivered,Cash on Delivery
311,1064,Canceled,Cash on Delivery
312,2507,Delivered,Net Banking
313,1909,Canceled,UPI
314,4437,Canceled,UPI
315,4866,Canceled,UPI
316,2074,Delivered,Net Banking
317,4910,Delivered,UPI
318,3645,Delivered,Cash on Delivery
319,2617,In Transit,Cash on Delivery
320,4533,In Transit,Loyalty Points
321,967,Delivered,UPI
322,1357,Delivered,Loyalty Points
323,2282,Delivered,UPI
324,2729,Canceled,UPI
325,703,Delivered,UPI
326,3895,Canceled,UPI
327,4371,In Transit,Cash on Delivery
328,1351,In Transit,Loyalty Points
329,738,Canceled,Cash on Delivery
330,1552,Canceled,Net Banking
331,375,In Transit,Net Banking
332,3437,In Transit,Net Banking
333,3376,Delivered,Cash on Delivery
334,1053,Delivered,Net Banking
335,4052,Canceled,Cash on Delivery
336,651,Canceled,Loyalty Points
337,3331,In Transit,Loyalty Points
338,2238,Canceled,Net Banking
339,2076,Canceled,Loyalty Points
340,718,Delivered,Net Banking
341,4028,Canceled,Loyalty Points
342,3506,Canceled,Cash on Delivery
343,4786,In Transit,UPI
344,734,In Transit,Net Banking
345,817,Delivered,UPI
346,2958,Delivered,Net Banking
347,3835,Delivered,Loyalty Points
348,3931,In Transit,UPI
349,2361,Delivered,Cash on Delivery
350,3099,Canceled,Cash on Delivery
351,2842,Delivered,Loyalty Points
352,2357,In Transit,Net Banking
353,3312,In Transit,UPI
354,3677,In Transit,Loyalty Points
355,2718,In Transit,Cash on Delivery
356,1754,Delivered,Loyalty Points
357,735,Canceled,Cash on Delivery
358,2355,In Transit,Cash on Delivery
359,3452,Delivered,Net Banking
360,1756,Delivered,Loyalty Points
361,603,In Transit,UPI
362,3770,Delivered,Cash on Delivery
363,4079,Canceled,UPI
364,2981,Delivered,Cash on Delivery
365,1039,Canceled,UPI
366,3538,Canceled,Net Banking
367,1225,In Transit,Loyalty Points
368,1824,Delivered,UPI
369,992,In Transit,Loyalty Points
370,4411,In Transit,UPI
371,522,In Transit,Net Banking
372,1536,Delivered,Cash on Delivery
373,3834,In Transit,Loyalty Points
374,1552,Canceled,UPI
375,2766,In Transit,Cash on Delivery
376,3435,In Transit,Loyalty Points
377,4779,In Transit,UPI
378,1219,Canceled,Net Banking
379,1283,Canceled,Loyalty Points
380,1672,Delivered,Loyalty Points
381,4309,Delivered,UPI
382,2949,Delivered,UPI
383,345,In Transit,Loyalty Points
384,2288,Canceled,Cash on Delivery
385,1240,In Transit,Cash on Delivery
386,568,Delivered,Net Banking
387,4548,Canceled,UPI
388,488,Canceled,UPI
389,3823,In Transit,Loyalty Points
390,3829,Delivered,Loyalty Points
391,2309,Canceled,Loyalty Points
392,4588,In Transit,Loyalty Points
393,576,In Transit,Loyalty Points
394,1533,Canceled,Cash on Delivery
395,2770,Canceled,Net Banking
396,389,In Transit,Net Banking
397,1437,Delivered,Cash on Delivery
398,4754,Delivered,UPI
399,4769,In Transit,Loyalty Points
400,2876,Canceled,Net Banking
401,1675,In Transit,Loyalty Points
402,3907,Delivered,Net Banking
403,2266,Delivered,UPI
404,1584,Delivered,Loyalty Points
405,2104,Delivered,Loyalty Points
406,1966,Delivered,Loyalty Points
407,1236,Delivered,UPI
408,1245,In Transit,Cash on Delivery
409,1198,In Transit,Loyalty Points
410,2209,Canceled,Cash on Delivery
411,1016,In Transit,Loyalty Points
412,3777,Canceled,Net Banking
413,1774,Canceled,Cash on Delivery
414,2002,In Transit,Net Banking
415,2186,In Transit,UPI
416,3201,Canceled,Loyalty Points
417,3384,Canceled,UPI
418,557,Delivered,Cash on Delivery
419,2214,Canceled,Loyalty Points
420,4143,In Transit,Loyalty Points
421,16,In Transit,Net Banking
422,422,Canceled,Cash on Delivery
423,3278,In Transit,UPI
424,4542,In Transit,Net Banking
425,4731,Delivered,Net Banking
426,4341,Delivered,Loyalty Points
427,4906,In Transit,Net Banking
428,1634,Delivered,Loyalty Points
429,4040,Canceled,UPI
430,3835,Canceled,Net Banking
431,128,Canceled,UPI
432,3183,Canceled,UPI
433,3136,Delivered,Net Banking
434,881,In Transit,Loyalty Points
435,2527,In Transit,UPI
436,4820,Canceled,Loyalty Points
437,4044,Delivered,Net Banking
438,4779,Canceled,UPI
439,1256,Canceled,Loyalty Points
440,4838,In Transit,Loyalty Points
441,1235,Canceled,Cash on Delivery
442,2877,Delivered,UPI
443,4173,Canceled,Cash on Delivery
444,1709,Delivered,UPI
445,1467,Delivered,Net Banking
446,1492,Delivered,Cash on Delivery
447,4634,Canceled,Loyalty Points
448,3341,Canceled,Net Banking
449,3520,In Transit,Cash on Delivery
450,4941,Canceled,Net Banking
451,3925,Canceled,UPI
452,1991,In Transit,Cash on Delivery
453,3863,Delivered,UPI
454,2599,In Transit,Loyalty Points
455,3236,Delivered,Loyalty Points
456,1368,In Transit,Loyalty Points
457,3021,In Transit,Cash on Delivery
458,4271,Canceled,Cash on Delivery
459,4017,Delivered,Cash on Delivery
460,4863,Canceled,UPI
461,3803,In Transit,Loyalty Points
462,132,Delivered,Net Banking
463,4786,In Transit,UPI
464,4767,Canceled,Cash on Delivery
465,2616,Delivered,Loyalty Points
466,4740,Canceled,Net Banking
467,276,Canceled,Cash on Delivery
468,3858,Delivered,Net Banking
469,1680,Delivered,Net Banking
470,3104,Delivered,Net Banking
471,520,In Transit,Net Banking
472,4083,Canceled,UPI
473,4475,Delivered,UPI
474,3518,Delivered,UPI
475,3270,Delivered,UPI
476,1615,Canceled,Net Banking
477,1107,In Transit,Net Banking
478,3777,Delivered,Cash on Delivery
479,4118,Delivered,Cash on Delivery
480,4638,Canceled,Cash on Delivery
481,2208,In Transit,Net Banking
482,3821,Canceled,UPI
483,4402,In Transit,UPI
484,2547,In Transit,UPI
485,4597,Canceled,Cash on Delivery
486,3609,Canceled,Net Banking
487,4525,In Transit,Net Banking
488,4065,Canceled,Net Banking
489,576,Delivered,Net Banking
490,4688,Delivered,Cash on Delivery
491,2326,Delivered,Net Banking
492,1332,Canceled,UPI
493,143,In Transit,UPI
494,3570,In Transit,Net Banking
495,1096,Canceled,Net Banking
496,1144,Canceled,Net Banking
497,4793,Canceled,UPI
498,1119,In Transit,Cash on Delivery
499,1173,Canceled,Cash on Delivery
500,4944,Canceled,Cash on Delivery
501,1560,In Transit,Net Banking
502,4811,Delivered,UPI
503,1305,Delivered,Loyalty Points
504,4352,In Transit,Cash on Delivery
505,2531,Delivered,Cash on Delivery
506,3399,Canceled,Loyalty Points
507,601,Canceled,Net Banking
508,4023,Delivered,Net Banking
509,3680,In Transit,UPI
510,3647,In Transit,Cash on Delivery
511,1746,Canceled,Net Banking
512,1536,Delivered,Net Banking
513,1575,In Transit,Cash on Delivery
514,1545,Canceled,UPI
515,115,Delivered,Loyalty Points
516,786,Delivered,Loyalty Points
517,721,In Transit,Net Banking
518,3827,In Transit,UPI
519,1554,Canceled,Net Banking
520,4338,In Transit,UPI
521,2933,In Transit,UPI
522,2002,Canceled,Loyalty Points
523,3308,In Transit,Loyalty Points
524,1077,In Transit,Cash on Delivery
525,231,Delivered,UPI
526,1886,Canceled,UPI
527,239,In Transit,UPI
528,2113,Canceled,Cash on Delivery
529,2817,In Transit,Cash on Delivery
530,679,Canceled,UPI
531,4014,Canceled,UPI
532,175,Delivered,Cash on Delivery
533,2219,In Transit,Net Banking
534,96,In Transit,Net Banking
535,957,Canceled,Cash on Delivery
536,3489,In Transit,Cash on Delivery
537,3414,In Transit,Net Banking
538,1666,Canceled,UPI
539,1858,Delivered,Loyalty Points
540,1699,Delivered,Net Banking
541,4874,Canceled,Loyalty Points
542,2347,Canceled,UPI
543,3363,Delivered,Loyalty Points
544,1430,Delivered,Net Banking
545,2243,Canceled,Net Banking
546,1832,In Transit,Loyalty Points
547,1475,Delivered,Net Banking
548,379,Canceled,Net Banking
549,102,Delivered,Cash on Delivery
550,2065,In Transit,Net Banking
551,4284,Delivered,Net Banking
552,1387,Canceled,UPI
553,2923,In Transit,Cash on Delivery
554,3837,In Transit,Cash on Delivery
555,2008,In Transit,Net Banking
556,1825,Delivered,Loyalty Points
557,2487,Canceled,Loyalty Points
558,1463,In Transit,Loyalty Points
559,2668,Delivered,Cash on Delivery
560,1977,In Transit,Cash on Delivery
561,3693,Delivered,UPI
562,3444,Canceled,Cash on Delivery
563,2335,Delivered,Cash on Delivery
564,4603,Canceled,UPI
565,2962,In Transit,Cash on Delivery
566,2417,Canceled,Loyalty Points
567,4537,Delivered,UPI
568,4837,Delivered,Loyalty Points
569,3108,Canceled,Loyalty Points
570,2210,Canceled,Loyalty Points
571,2989,Canceled,UPI
572,3445,Canceled,Loyalty Points
573,2031,In Transit,Net Banking
574,1806,In Transit,UPI
575,2677,Canceled,UPI
576,878,Delivered,UPI
577,3898,In Transit,Loyalty Points
578,2646,In Transit,UPI
579,373,In Transit,Net Banking
580,3868,Canceled,Cash on Delivery
581,1933,In Transit,Cash on Delivery
582,3701,Canceled,Cash on Delivery
583,3581,Delivered,Loyalty Points
584,2828,Delivered,UPI
585,2078,Delivered,Cash on Delivery
586,1904,Delivered,UPI
587,2904,Delivered,UPI
588,3079,Delivered,Net Banking
589,485,Delivered,Net Banking
590,3631,Canceled,Cash on Delivery
591,1178,Delivered,Net Banking
592,4944,Delivered,UPI
593,306,Canceled,Net Banking
594,3062,In Transit,Loyalty Points
595,2536,Delivered,Loyalty Points
596,3981,Canceled,Cash on Delivery
597,1322,Delivered,Loyalty Points
598,1373,Canceled,UPI
599,4792,In Transit,Loyalty Points
600,3570,Canceled,UPI
601,402,Canceled,Loyalty Points
602,1983,Canceled,Net Banking
603,2171,In Transit,Cash on Delivery
604,3289,Canceled,Cash on Delivery
605,1938,Delivered,Cash on Delivery
606,3102,Canceled,Net Banking
607,855,In Transit,Cash on Delivery
608,3233,Delivered,UPI
609,4334,Canceled,Net Banking
610,4409,Canceled,UPI
611,2704,In Transit,Cash on Delivery
612,4796,In Transit,Loyalty Points
613,4430,Delivered,Cash on Delivery
614,1737,Delivered,Net Banking
615,319,In Transit,Net Banking
616,2892,Canceled,Loyalty Points
617,3691,Delivered,Loyalty Points
618,4342,Canceled,UPI
619,1441,Canceled,Loyalty Points
620,304,Canceled,Loyalty Points
621,2107,Delivered,Loyalty Points
622,673,In Transit,Loyalty Points
623,3049,Canceled,Net Banking
624,234,In Transit,Net Banking
625,2468,Delivered,Net Banking
626,2752,Canceled,Cash on Delivery
627,4585,Canceled,Cash on Delivery
628,2893,Delivered,UPI
629,105,In Transit,Cash on Delivery
630,4044,Delivered,Net Banking
631,3098,In Transit,Cash on Delivery
632,1818,Delivered,UPI
633,2129,Canceled,Loyalty Points
634,1864,Delivered,Cash on Delivery
635,657,Delivered,Loyalty Points
636,4438,In Transit,Loyalty Points
637,1404,Canceled,Cash on Delivery
638,1422,Delivered,UPI
639,1868,Canceled,Loyalty Points
640,3162,Delivered,Cash on Delivery
641,4395,In Transit,Cash on Delivery
642,1422,Canceled,Net Banking
643,2786,In Transit,Net Banking
644,1253,Delivered,UPI
645,12,In Transit,Net Banking
646,1500,Canceled,Cash on Delivery
647,4422,In Transit,Net Banking
648,1745,Delivered,Net Banking
649,4836,Canceled,Net Banking
650,938,In Transit,Cash on Delivery
651,940,In Transit,Cash on Delivery
652,4070,Delivered,UPI
653,3070,Delivered,Cash on Delivery
654,729,In Transit,UPI
655,1999,Canceled,UPI
656,1031,In Transit,Cash on Delivery
657,2405,Canceled,Cash on Delivery
658,4388,Canceled,UPI
659,2121,Canceled,Cash on Delivery
660,2700,In Transit,Cash on Delivery
661,4795,Delivered,Cash on Delivery
662,2009,In Transit,UPI
663,3184,Canceled,Loyalty Points
664,1608,In Transit,Loyalty Points
665,4151,Delivered,UPI
666,507,Delivered,UPI
667,2587,In Transit,Loyalty Points
668,571,Canceled,Loyalty Points
669,3805,Delivered,UPI
670,2033,In Transit,UPI
671,2582,Canceled,UPI
672,4722,Canceled,Net Banking
673,1811,In Transit,Cash on Delivery
674,3259,In Transit,Cash on Delivery
675,2038,In Transit,Cash on Delivery
676,3624,In Transit,Loyalty Points
677,759,In Transit,Net Banking
678,792,Canceled,Net Banking
679,4045,Delivered,Cash on Delivery
680,434,Canceled,Net Banking
681,3281,In Transit,Cash on Delivery
682,3906,Delivered,Cash on Delivery
683,2081,Canceled,UPI
684,523,Canceled,Loyalty Points
685,3843,Canceled,Loyalty Points
686,744,Canceled,UPI
687,1664,Delivered,Loyalty Points
688,4468,In Transit,UPI
689,3167,Canceled,UPI
690,2364,In Transit,Net Banking
691,702,In Transit,Cash on Delivery
692,7,Delivered,Net Banking
693,2492,In Transit,Net Banking
694,561,Delivered,Loyalty Points
695,1557,In Transit,Loyalty Points
696,896,Canceled,Loyalty Points
697,3676,Canceled,Net Banking
698,1285,In Transit,UPI
699,3781,In Transit,UPI
700,827,Canceled,Loyalty Points
701,3575,In Transit,UPI
702,620,In Transit,UPI
703,4694,Delivered,Cash on Delivery
704,1575,In Transit,Cash on Delivery
705,143,Delivered,Loyalty Points
706,4003,Canceled,Loyalty Points
707,1887,Delivered,Net Banking
708,865,Delivered,Loyalty Points
709,3741,In Transit,Net Banking
710,3575,Canceled,Loyalty Points
711,3291,Canceled,Net Banking
712,4637,In Transit,Net Banking
713,2352,In Transit,Net Banking
714,4361,In Transit,Cash on Delivery
715,1160,Delivered,Loyalty Points
716,4069,In Transit,Net Banking
717,3280,Delivered,UPI
718,2230,Canceled,Cash on Delivery
719,617,In Transit,Loyalty Points
720,2407,In Transit,Net Banking
721,3375,Canceled,UPI
722,4975,In Transit,Cash on Delivery
723,3064,In Transit,Net Banking
724,2585,Canceled,Net Banking
725,1205,Canceled,Net Banking
726,4670,In Transit,UPI
727,721,Canceled,UPI
728,4904,In Transit,Cash on Delivery
729,3948,Delivered,Net Banking
730,4797,In Transit,Loyalty Points
731,1509,Delivered,Net Banking
732,1576,Delivered,Net Banking
733,468,Delivered,Cash on Delivery
734,3383,Delivered,Net Banking
735,1774,Delivered,Cash on Delivery
736,2559,Canceled,Cash on Delivery
737,2980,In Transit,Net Banking
738,2391,Delivered,Cash on Delivery
739,527,In Transit,Cash on Delivery
740,392,Delivered,Net Banking
741,1928,Canceled,Net Banking
742,848,In Transit,UPI
743,566,Delivered,Cash on Delivery
744,1994,Delivered,UPI
745,46,Delivered,Net Banking
746,2310,Delivered,Net Banking
747,2101,In Transit,Loyalty Points
748,1288,In Transit,Loyalty Points
749,1198,Delivered,Net Banking
750,3947,Canceled,Net Banking
751,2403,Delivered,Cash on Delivery
752,1279,Delivered,Cash on Delivery
753,2802,In Transit,UPI
754,664,In Transit,Cash on Delivery
755,3030,In Transit,Net Banking
756,2391,Canceled,Net Banking
757,2674,Delivered,UPI
758,4223,Canceled,Loyalty Points
759,3590,Canceled,Loyalty Points
760,2773,In Transit,UPI
761,3275,Canceled,Loyalty Points
762,1755,Delivered,UPI
763,2048,Canceled,Loyalty Points
764,3932,In Transit,UPI
765,633,Canceled,UPI
766,4678,Canceled,Net Banking
767,4972,In Transit,Net Banking
768,4755,Canceled,Cash on Delivery
769,4101,Canceled,UPI
770,1927,Delivered,Loyalty Points
771,1049,Canceled,Cash on Delivery
772,3366,Delivered,Net Banking
773,1282,Delivered,UPI
774,1550,Delivered,Loyalty Points
775,2011,Delivered,UPI
776,3222,In Transit,Cash on Delivery
777,2778,Delivered,Cash on Delivery
778,4083,Delivered,Loyalty Points
779,761,Delivered,Net Banking
780,1546,In Transit,Cash on Delivery
781,2340,Delivered,Loyalty Points
782,4544,In Transit,Net Banking
783,1416,Delivered,UPI
784,1513,Canceled,Net Banking
785,3769,Delivered,Loyalty Points
786,1927,Canceled,Loyalty Points
787,4697,Canceled,UPI
788,3518,Delivered,Net Banking
789,4271,In Transit,Cash on Delivery
790,1993,In Transit,Loyalty Points
791,1157,In Transit,Net Banking
792,4639,Delivered,Loyalty Points
793,3968,Canceled,Cash on Delivery
794,2946,Delivered,Net Banking
795,2161,Delivered,UPI
796,3651,Canceled,UPI
797,4968,Delivered,UPI
798,2572,Delivered,Cash on Delivery
799,124,Canceled,UPI
800,303,In Transit,Cash on Delivery
801,2603,Delivered,UPI
802,4811,Delivered,UPI
803,1473,Delivered,UPI
804,856,Canceled,UPI
805,2198,Delivered,UPI
806,935,Canceled,Net Banking
807,4293,Canceled,Cash on Delivery
808,641,In Transit,UPI
809,2118,Delivered,Loyalty Points
810,1651,Canceled,UPI
811,3780,Delivered,UPI
812,3964,Delivered,Net Banking
813,832,Delivered,UPI
814,1008,Delivered,Cash on Delivery
815,3737,Canceled,Net Banking
816,3592,Delivered,Loyalty Points
817,3180,Canceled,Cash on Delivery
818,3358,Delivered,Cash on Delivery
819,4452,Canceled,Cash on Delivery
820,2888,Delivered,Net Banking
821,4798,Canceled,Net Banking
822,1565,Canceled,UPI
823,2258,Delivered,UPI
824,1370,Canceled,Loyalty Points
825,4599,Delivered,Cash on Delivery
826,496,Canceled,Cash on Delivery
827,3740,Delivered,Net Banking
828,4761,Delivered,Net Banking
829,4091,In Transit,Net Banking
830,3732,In Transit,Net Banking
831,2106,Canceled,Loyalty Points
832,4875,In Transit,Net Banking
833,4681,Canceled,UPI
834,1475,In Transit,Cash on Delivery
835,3625,Delivered,Cash on Delivery
836,4434,In Transit,Loyalty Points
837,2531,In Transit,UPI
838,1567,Delivered,Cash on Delivery
839,1849,Canceled,UPI
840,427,Delivered,UPI
841,228,Delivered,Cash on Delivery
842,1954,Delivered,Cash on Delivery
